Symbol,Date,Close
AMD,2019-01-22,19.76
AMD,2019-01-23,19.8
AMD,2019-01-24,20.85
AMD,2019-01-25,21.93
AMD,2019-01-28,20.18
AMD,2019-01-29,19.25
AMD,2019-01-30,23.09
AMD,2019-01-31,24.41
AMD,2019-02-01,24.51
AMD,2019-02-04,24.13
AMD,2019-02-05,23.31
AMD,2019-02-06,23.26
AMD,2019-02-07,22.67
AMD,2019-02-08,23.05
AMD,2019-02-11,22.96
AMD,2019-02-12,22.82
AMD,2019-02-13,22.85
AMD,2019-02-14,23.13
AMD,2019-02-15,23.68
AMD,2019-02-19,23.95
AMD,2019-02-20,23.95
AMD,2019-02-21,23.92
AMD,2019-02-22,24.36
AMD,2019-02-25,24.71
AMD,2019-02-26,24.21
AMD,2019-02-27,23.48
AMD,2019-02-28,23.53
AMD,2019-03-01,23.68
AMD,2019-03-04,23.37
AMD,2019-03-05,23.5
AMD,2019-03-06,22.41
AMD,2019-03-07,22.08
AMD,2019-03-08,22.01
AMD,2019-03-11,22.96
AMD,2019-03-12,23.49
AMD,2019-03-13,23.38
AMD,2019-03-14,22.82
AMD,2019-03-15,23.29
AMD,2019-03-18,23.25
AMD,2019-03-19,26
AMD,2019-03-20,25.7
AMD,2019-03-21,27.89
AMD,2019-03-22,26.37
AMD,2019-03-25,25.97
AMD,2019-03-26,25.69
AMD,2019-03-27,24.89
AMD,2019-03-28,25.06
AMD,2019-03-29,25.52
AMD,2019-04-01,26.36
AMD,2019-04-02,26.75
AMD,2019-04-03,29.02
AMD,2019-04-04,29.09
AMD,2019-04-05,28.98
AMD,2019-04-08,28.53
AMD,2019-04-09,27.24
AMD,2019-04-10,27.83
AMD,2019-04-11,27.79
AMD,2019-04-12,27.85
AMD,2019-04-15,27.33
AMD,2019-04-16,27.93
AMD,2019-04-17,27.49
AMD,2019-04-18,27.68
AMD,2019-04-22,28.18
AMD,2019-04-23,27.97
AMD,2019-04-24,28.46
AMD,2019-04-25,27.66
AMD,2019-04-26,27.88
AMD,2019-04-29,27.69
AMD,2019-04-30,27.63
