Symbol,Date,Close
CMG,2018-05-01,426.01
CMG,2018-05-02,421.22
CMG,2018-05-03,419.42
CMG,2018-05-04,420.41
CMG,2018-05-07,419.62
CMG,2018-05-08,424.42
CMG,2018-05-09,424.69
CMG,2018-05-10,422.67
CMG,2018-05-11,424.9
CMG,2018-05-14,425.06
CMG,2018-05-15,426.56
CMG,2018-05-16,444.67
CMG,2018-05-17,438.58
CMG,2018-05-18,438.58
CMG,2018-05-21,433.86
CMG,2018-05-22,433.44
CMG,2018-05-23,435.51
CMG,2018-05-24,433.43
CMG,2018-05-25,428.96
CMG,2018-05-29,433.01
CMG,2018-05-30,436.61
CMG,2018-05-31,430.18
CMG,2018-06-01,438.62
CMG,2018-06-04,443.83
CMG,2018-06-05,453.34
CMG,2018-06-06,453.82
CMG,2018-06-07,448.28
CMG,2018-06-08,453.38
CMG,2018-06-11,466.64
CMG,2018-06-12,466.3
CMG,2018-06-13,457.3
CMG,2018-06-14,460.44
CMG,2018-06-15,462.01
CMG,2018-06-18,468.46
CMG,2018-06-19,469.22
CMG,2018-06-20,465.5
CMG,2018-06-21,463.16
CMG,2018-06-22,469.94
CMG,2018-06-25,454.17
CMG,2018-06-26,461.7
CMG,2018-06-27,457.24
CMG,2018-06-28,428.36
CMG,2018-06-29,431.37
CMG,2018-07-02,442.82
CMG,2018-07-03,448.95
CMG,2018-07-05,448.02
CMG,2018-07-06,451.04
CMG,2018-07-09,463.89
CMG,2018-07-10,454.21
CMG,2018-07-11,457.18
CMG,2018-07-12,459.05
CMG,2018-07-13,457.21
CMG,2018-07-16,452.06
CMG,2018-07-17,452.54
CMG,2018-07-18,453.58
CMG,2018-07-19,454.83
CMG,2018-07-20,451.19
CMG,2018-07-23,456.59
CMG,2018-07-24,449.48
CMG,2018-07-25,451.63
CMG,2018-07-26,446.76
CMG,2018-07-27,472.3
CMG,2018-07-30,465.47
CMG,2018-07-31,433.66
CMG,2018-08-01,442.63
CMG,2018-08-02,460.38
CMG,2018-08-03,463.27
CMG,2018-08-06,475.25
CMG,2018-08-07,478.02
CMG,2018-08-08,487.57
CMG,2018-08-09,487.68
CMG,2018-08-10,485.47
CMG,2018-08-13,484.66
CMG,2018-08-14,493.32
CMG,2018-08-15,525.89
CMG,2018-08-16,502.7
CMG,2018-08-17,510.44
CMG,2018-08-20,515.75
CMG,2018-08-21,518.9
CMG,2018-08-22,523.58
CMG,2018-08-23,518.04
CMG,2018-08-24,520.71
CMG,2018-08-27,495.6
CMG,2018-08-28,494.09
CMG,2018-08-29,487.65
CMG,2018-08-30,483.99
CMG,2018-08-31,475.18
CMG,2018-09-04,477.49
CMG,2018-09-05,477.88
CMG,2018-09-06,481.05
CMG,2018-09-07,482.03
CMG,2018-09-10,489.12
CMG,2018-09-11,488.23
CMG,2018-09-12,494.77
CMG,2018-09-13,495.94
CMG,2018-09-14,491.56
CMG,2018-09-17,488.32
CMG,2018-09-18,491.49
CMG,2018-09-19,490.6
CMG,2018-09-20,480.1
CMG,2018-09-21,467.37
CMG,2018-09-24,465.89
CMG,2018-09-25,465.62
CMG,2018-09-26,467.91
CMG,2018-09-27,465.4
CMG,2018-09-28,454.52
CMG,2018-10-01,446.97
CMG,2018-10-02,436.37
CMG,2018-10-03,436.44
CMG,2018-10-04,447.77
CMG,2018-10-05,449.36
CMG,2018-10-08,448.56
CMG,2018-10-09,447.09
CMG,2018-10-10,434.21
CMG,2018-10-11,433.93
CMG,2018-10-12,435.71
CMG,2018-10-15,431.74
CMG,2018-10-16,433.95
CMG,2018-10-17,429.85
CMG,2018-10-18,431.73
CMG,2018-10-19,428.54
CMG,2018-10-22,431.19
CMG,2018-10-23,434.29
CMG,2018-10-24,413
CMG,2018-10-25,423.88
CMG,2018-10-26,438.38
CMG,2018-10-29,440.87
CMG,2018-10-30,461.77
CMG,2018-10-31,460.33
CMG,2018-11-01,472.62
CMG,2018-11-02,476.39
CMG,2018-11-05,469.65
CMG,2018-11-06,474.15
CMG,2018-11-07,477.49
CMG,2018-11-08,478.3
CMG,2018-11-09,490.76
CMG,2018-11-12,489.67
CMG,2018-11-13,484.82
CMG,2018-11-14,479.32
CMG,2018-11-15,472.3
CMG,2018-11-16,472.76
CMG,2018-11-19,465.87
CMG,2018-11-20,461.63
CMG,2018-11-21,471.26
CMG,2018-11-23,471.42
CMG,2018-11-26,466.02
CMG,2018-11-27,473.45
CMG,2018-11-28,490.52
CMG,2018-11-29,482.56
CMG,2018-11-30,473.21
CMG,2018-12-03,475.38
CMG,2018-12-04,468.35
CMG,2018-12-06,469.94
CMG,2018-12-07,467.43
CMG,2018-12-10,475.15
CMG,2018-12-11,472.35
CMG,2018-12-12,471.31
CMG,2018-12-13,472.73
CMG,2018-12-14,457.83
CMG,2018-12-17,443.5
CMG,2018-12-18,443.8
CMG,2018-12-19,427.05
CMG,2018-12-20,400.77
CMG,2018-12-21,394.42
CMG,2018-12-24,385.84
CMG,2018-12-26,405.72
CMG,2018-12-27,414.55
CMG,2018-12-28,424.19
CMG,2018-12-31,431.79
CMG,2019-01-02,443.36
CMG,2019-01-03,439.45
CMG,2019-01-04,455
CMG,2019-01-07,485.15
CMG,2019-01-08,497.37
CMG,2019-01-09,498.48
CMG,2019-01-10,509.62
CMG,2019-01-11,506.95
CMG,2019-01-14,501.99
CMG,2019-01-15,514.49
CMG,2019-01-16,514.82
CMG,2019-01-17,517.66
CMG,2019-01-18,513.24
CMG,2019-01-22,520.08
CMG,2019-01-23,521.37
CMG,2019-01-24,533.39
CMG,2019-01-25,543.37
CMG,2019-01-28,532
CMG,2019-01-29,530.06
CMG,2019-01-30,532.98
CMG,2019-01-31,529.61
