Symbol,Date,Close
MRK,2018-12-13,79.01
MRK,2018-12-14,76.48
MRK,2018-12-17,75.23
MRK,2018-12-18,74.33
MRK,2018-12-19,73.77
MRK,2018-12-20,73.49
MRK,2018-12-21,72.9
MRK,2018-12-24,71.15
MRK,2018-12-26,74
MRK,2018-12-27,75.38
MRK,2018-12-28,75.37
MRK,2018-12-31,76.41
MRK,2019-01-02,75.59
MRK,2019-01-03,74.04
MRK,2019-01-04,76.27
MRK,2019-01-07,75.43
MRK,2019-01-08,75.99
MRK,2019-01-09,75.41
MRK,2019-01-10,74.48
MRK,2019-01-11,74.9
MRK,2019-01-14,73.37
MRK,2019-01-15,74.5
MRK,2019-01-16,74.61
MRK,2019-01-17,75.6
MRK,2019-01-18,75.87
MRK,2019-01-22,75.83
MRK,2019-01-23,75.44
MRK,2019-01-24,73.17
MRK,2019-01-25,72.95
MRK,2019-01-28,72.92
MRK,2019-01-29,73.23
MRK,2019-01-30,73.37
MRK,2019-01-31,74.43
MRK,2019-02-01,76.45
MRK,2019-02-04,76.87
MRK,2019-02-05,77.15
MRK,2019-02-06,77.39
MRK,2019-02-07,76.82
MRK,2019-02-08,77.52
MRK,2019-02-11,76.71
MRK,2019-02-12,78.52
MRK,2019-02-13,79.02
MRK,2019-02-14,78.94
MRK,2019-02-15,79.81
MRK,2019-02-19,79.24
MRK,2019-02-20,79.43
MRK,2019-02-21,79.83
MRK,2019-02-22,80.77
MRK,2019-02-25,80.38
MRK,2019-02-26,80.74
MRK,2019-02-27,80.62
MRK,2019-02-28,81.29
MRK,2019-03-01,81.65
MRK,2019-03-04,81.37
MRK,2019-03-05,81.7
MRK,2019-03-06,80.76
MRK,2019-03-07,80.45
MRK,2019-03-08,79.8
MRK,2019-03-11,80.87
MRK,2019-03-12,81.23
MRK,2019-03-13,81.6
MRK,2019-03-14,81.49
MRK,2019-03-15,81.57
MRK,2019-03-18,81.35
MRK,2019-03-19,81.91
MRK,2019-03-20,82.08
MRK,2019-03-21,82.95
MRK,2019-03-22,82.29
MRK,2019-03-25,82.35
MRK,2019-03-26,82.92
MRK,2019-03-27,82.29
MRK,2019-03-28,82.63
MRK,2019-03-29,83.17
MRK,2019-04-01,83.3
MRK,2019-04-02,83.21
MRK,2019-04-03,83.18
